ct 22 17:27:04 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:04,092 - apscheduler.scheduler - INFO - Added job "check_expired_freezes_job" to job store "default"
Oct 22 17:27:04 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:04,092 - apscheduler.scheduler - INFO - Scheduler started
Oct 22 17:27:04 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:04,092 - telegram.ext.Application - INFO - Application started
Oct 22 17:27:13 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:13,483 - apscheduler.executors.default - INFO - Running job "check_expired_freezes_job (trigger: interval[1:00:00], next run at: 2025-10-22 18:27:13 UTC)" (scheduled at 2025-10-22 17:27:13.473183+00:00)
Oct 22 17:27:18 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:18,103 - apscheduler.executors.default - INFO - Job "check_expired_freezes_job (trigger: interval[1:00:00], next run at: 2025-10-22 18:27:13 UTC)" executed successfully
Oct 22 17:27:18 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:18,103 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:27:28 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:28,131 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:27:36 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:36,612 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:27:36 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:36,614 - handlers.real_handlers - INFO - 🚀 START: User 6733908384 starting bot
Oct 22 17:27:36 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:36,874 - handlers.real_handlers - INFO - ✅ CAPTCHA cache hit for user 6733908384 (0 days old)
Oct 22 17:27:43 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:43,306 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/sendMessage "HTTP/1.1 200 OK"
Oct 22 17:27:46 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:46,864 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
